web-scraper-order,web-scraper-start-url,category-href,category,name,glycemic_index,glycemic_load,calories,proteins (g),carbohydrates (g),fats (g)
1716369350-15,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Bubuk telur,60,2.7,542,46,4.5,37.3
1716369350-16,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Telur,0,0,115,13,1.1,11
1716369354-17,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Alpukat,10,0.9,160,2,9,15
1716369354-18,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Artichoke,20,1.2,28,1.2,6,0.1
1716369354-19,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Terong,20,1.7,35,0.8,8.7,0.2
1716369354-20,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Eggplant Caviar,40,5.3,146,1.7,13.3,5.1
1716369354-21,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Ubi jalar ,70,11.1,77,1.4,15.8,0.4
1716369354-22,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Brokoli,15,0.5,35,3.5,3.1,0.4
1716369354-23,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Brokoli (dimasak),45,3.1,45,3,7,1
1716369354-24,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Rutabaga,70,6.1,39,1.3,8.7,0.2
1716369354-25,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kubis Brussels (segar),15,1.1,36,2.5,7.1,0.5
1716369354-26,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kentang rebus,70,12.3,80,1.8,17.5,0.1
1716369354-27,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kentang panggang,95,20,93,2.5,21.1,0.1
1716369354-28,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Labu kaviar,75,3.6,83,1.3,4.8,8.1
1716369354-29,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Labu siam,15,0.7,24,0.6,4.6,0.3
1716369354-30,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kapulaga,20,0.8,30,2.1,4.2,0.5
1716369354-31,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kubis putih,15,0.9,24,1.2,5.8,0.1
1716369354-32,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kubis Brussels,15,0.3,46,3.6,2.3,2.4
1716369354-33,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Sauerkraut,15,0.8,29,1.7,5,0.1
1716369354-34,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kembang kol,15,0.8,25,2,5.3,0.1
1716369354-35,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kentang goreng,95,19.1,149,2.8,20.1,7
1716369354-36,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kentang tumbuk,83,11.4,72,1.7,13.7,1.2
1716369354-37,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kol rabi,20,2.1,42,2.8,10.6,0
1716369354-38,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Timun asin,15,0.7,18,0,4.6,0
1716369354-39,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Zaitun hitam,15,4.8,361,2.2,32,8.7
1716369354-40,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Wortel (dimasak),85,4.3,25,0.8,5,0.3
1716369354-41,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Wortel (segar),30,2,31,0.9,6.8,0.2
1716369354-42,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Sayuran kaleng (pabrik),65,3.4,77,3.2,5.2,2.8
1716369354-43,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Mentimun,15,0.4,15,0.8,2.8,0.1
1716369354-44,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Acar dill,15,0.2,16,2.8,1.3,0
1716369354-45,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Zaitun,15,0.9,115,0.8,6.3,10.7
1716369354-46,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Parsnip,85,15.3,75,1.2,18,0.3
1716369354-47,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kubis Cina,20,0.4,12,1.1,2.2,0.2
1716369354-48,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Paprika manis,15,0.8,27,1.3,5.3,0
1716369354-49,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Cabai,15,1.4,40,2,9.5,0.2
1716369354-50,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Cabai hijau (Segar),15,1.2,40,2,8,0.2
1716369354-51,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Tomat (segar),30,1.1,24,1.1,3.8,0.2
1716369354-52,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Ratatouille,20,1,38,0.9,5,1.6
1716369354-53,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Rhabarber,15,0.4,13,0.7,2.5,0.1
1716369354-54,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Lobak,15,0.5,20,1.2,3.4,0.1
"1716369354-55,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,""Lobak (dimasak, direbus)"",85,3.9,26,1.7,4.6,0.2"
1716369354-56,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Lobak (mentah),30,1.9,30,1.5,6.2,0.1
1716369354-57,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Bit (Dimasak),65,7,49,1.8,10.8,0
1716369354-58,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Beetroot (segar),30,2.6,43,1.5,8.8,0.1
1716369354-59,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Scorzonera (Kozelec),30,0.3,17,1,1,1
"1716369354-60,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,""Paprika manis (merah, hijau), paprika"",15,1,33,1.3,6.9,0"
1716369354-61,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Acar mentimun,15,0.3,11,0.3,2.3,0.2
1716369354-62,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Tomat,30,1.1,24,1.1,3.8,0.2
1716369354-63,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Tomat (kering),35,10.2,170,6.3,29,4.3
1716369354-64,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Arta Jerusalema (segar),50,6.4,61,2.1,12.8,0.1
"1716369354-65,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,""Lobak, lobak (segar)"",30,1.8,28,1,6,0"
1716369354-66,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Labu,65,4.5,26,1,7,0.1
1716369354-67,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Labu (rebus),75,5.3,26,1,7,0.1
1716369354-68,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kembang kol (segar),15,0.8,30,2.5,5.4,0.3
1716369354-69,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Kembang kol tumis,15,0,29,1.8,0.3,4
1716369354-70,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,Zucchini,15,0.5,17,1.2,3.1,0.3
"1716369354-71,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-vegetables/,Sayuran,""Chayote (mentimun Meksiko), diremas dari itu"",50,2.3,19,0.8,4.5,0.1"
1716369358-72,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Selai kacang (Tanpa Gula),25,7,567,26,28,49
"1716369358-73,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,""Bar muesli, Bebas Gluten"",50,37.1,285,2.9,74.3,0"
1716369358-74,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Cokelat putih,44,26,539,5.9,59.2,31.1
1716369358-75,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Glukosa,96,94.1,385,0.1,98,0.1
1716369358-76,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Glukosa (Dekstrosa),100,95,380,0,95,0
1716369358-77,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Selai,51,47.5,376,0.5,93.1,0.1
1716369358-78,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup maple,55,36.9,261,0,67.1,0.2
1716369358-79,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Selai Strawberry (Tinggi Gula),65,45.5,280,0,70,0
1716369358-80,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Selai Strawberry (Rendah Gula),51,31.1,246,0,61,0
1716369358-81,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Gula kelapa,35,1.8,19,0,5,0
1716369358-82,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Permen cokelat dengan pemanis,23,8.2,547,6.9,35.7,52.4
1716369358-83,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup Jagung (Gelap),115,89.2,286,0,77.6,0
1716369358-84,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Marmalade (tanpa gula),30,22.2,284,0.3,73.9,0.1
1716369358-85,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Marmalade dengan gula,65,49.8,293,0.4,76.6,0
1716369358-86,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Madu,60,45.8,309,1.4,76.4,0.2
1716369358-87,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Molase,70,52.5,290,0,75,0.1
1716369358-88,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Pasta almond (tanpa gula),35,15.1,458,9,43,27.7
1716369358-89,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Susu kental manis,80,6.8,329,7.2,8.5,56
1716369358-90,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Cokelat susu,49,28.9,553,8,59,30
1716369358-91,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup,70,54.8,296,0,78.3,0.3
1716369358-92,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Coklat Batangan (dengan gula),70,38.1,550,6.9,54.4,35.7
1716369358-93,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Air rice,85,76.3,402,6.3,89.8,0.5
1716369358-94,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Gula,58,58,387,0,100,0
1716369358-95,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Gula aren,70,68.6,380,0.1,98,0
1716369358-96,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Susu kental,61,32.9,321,8,54,9
1716369358-97,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup glukosa,100,70.5,285,0.2,70.5,0
1716369358-98,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup tangkira,65,43.5,261,0,67.1,0.2
1716369358-99,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup jagung,15,11.7,286,0,78,0
1716369358-100,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup gandum,100,78,315,0.1,78,0.3
1716369358-101,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sirup beras,100,77,311,0.5,77,0.2
1716369358-102,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Chicory Syrup,55,5.2,167,0,9.5,0
1716369358-103,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sorbet (tanpa gula),40,4.8,50,0,12,0
1716369358-104,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sorbet (dengan gula),65,17.9,158,1,27.6,4.8
1716369358-105,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Stevia,0,0,18,0,0.1,0
1716369358-106,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Fruit Bar (strawberry),90,60.8,418,4,67.5,14.5
1716369358-107,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Fruktosa,20,20,399,0,99.8,0
1716369358-108,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Cokelat Hitam (dengan Kandungan Kakao 85%),20,9.6,539,6.2,48.2,34.4
1716369358-109,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Sorbet,65,52.5,386,4.9,80.7,4.8
1716369358-110,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Cokelat,49,29.9,546,4.9,61,31
1716369358-111,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Cokelat (+ 70% kakao),25,9,549,9.1,36,39
1716369358-112,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Cokelat hitam,23,13.8,546,4.9,60,30.2
1716369358-113,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-sweets/,Makanan manis,Bubuk cokelat dengan gula,60,19.1,374,24.2,31.9,17.5
1716369362-115,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Basil,5,0.1,22,3.2,2.7,0.6
1716369362-116,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Cuka balsamik,5,2.8,237,1.5,55,0
1716369362-117,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Vanilla,5,3.3,260,0,65,0
1716369362-118,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Mustard (dengan gula),55,5.9,90,7.4,10.8,2
1716369362-119,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Mustard Dijon,35,3.3,165,9.6,9.5,9.7
1716369362-120,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Jahe,15,0.6,17,0,3.7,0
1716369362-121,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Saus tomat,55,14,98,1.8,25.5,0.3
1716369362-122,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Biji rami (dikupas),4,0.3,553,31.5,8.7,48.7
1716369362-123,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Kayu manis,5,2.9,261,4,57,2
1716369362-124,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Wijen,35,8.1,573,18,23,5
"1716369362-125,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,""Tahini, pasta wijen"",40,4.9,575,19.4,12.2,48.7"
1716369362-126,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Biji wijen,35,4.3,565,19.4,12.2,48.7
1716369362-127,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Carob (bubuk carob),15,11.7,212,4.4,78,1
1716369362-128,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Bubuk Akar Teratai,33,4.1,74,2.6,12.3,0.1
1716369362-129,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Biji rami,35,0.6,543,18.3,1.6,42.2
1716369362-130,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Lupine,15,6.1,371,36.2,40.4,9.7
1716369362-131,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Biji poppy,35,9.8,525,18,28,42
"1716369362-132,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,""Singkong (pahit, manis)"",55,20.9,159,1.4,38,0.3"
1716369362-133,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Oregano,5,3.2,333,11.3,64.7,10
1716369362-135,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Jintan,5,0.6,333,19.8,11.9,14.6
1716369362-136,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Cuka,15,0,18,0,0,0
1716369362-137,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Lobak,10,1.1,56,3.2,10.5,0.4
1716369362-138,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-spices/,Rempah-rempah,Bawang putih,30,9,143,6.5,29.9,0.5
1716369366-139,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-soups/,Sup,Sup sayuran,40,2.5,43,1.7,6.2,1.8
1716369366-140,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-soups/,Sup,Sup lentil ,44,6.6,108,7.6,15,2
1716369366-142,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-soups/,Sup,Sup dengan ayam dan jamur,46,0.7,27,3.7,1.5,0.7
1716369366-143,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-soups/,Sup,Sup tomat,38,2.7,30,0.8,7,0.3
1716369366-144,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-soups/,Sup,Lentil soup,30,2.4,56,3.7,8,1.1
1716369369-145,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-seafood/,Seafood,Kaviar merah,0,0,263,32,0,15
"1716369369-146,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-seafood/,Seafood,""Makanan laut (tiram, udang, kerang, dll.)"",0,0,204,29,1.9,8"
"1716369369-147,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-seafood/,Seafood,""Krustasea (lobster, kepiting, udang karang)"",5,0.1,97,20.3,1,1.3"
"1716369369-148,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-seafood/,Seafood,""Ikan (salmon, tuna, dll.)"",0,0,208,20,0,13"
1716369369-149,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-seafood/,Seafood,Surimi ,50,3.4,99,15.2,6.8,0.9
1716369373-150,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-oils-and-sauces/,Minyak dan saus,Minyak kacang tanah (Tanpa Gula),40,8.6,589,24.1,21.6,49.9
1716369373-151,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-oils-and-sauces/,Minyak dan saus,Lemak angsa,0,0,900,0,0,99.8
1716369373-152,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-oils-and-sauces/,Minyak dan saus,Lemak (hewan / nabati),0,0,884,0,0,100
1716369373-153,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-oils-and-sauces/,Minyak dan saus,Santan kelapa (mentah),40,1.1,197,2,2.8,21.3
